year,name,age
1998,Gisele Bundchen,18
1999,Gisele Bundchen,19
2000,Gisele Bundchen,20
2001,Gisele Bundchen,21
2002,Gisele Bundchen,22
2003,Gisele Bundchen,23
2004,Bar Rafaeli,20
2005,Bar Rafaeli,21
2006,Bar Rafaeli,22
2007,Bar Rafaeli,23
2008,Bar Rafaeli,24
2009,Bar Rafaeli,25
2010,Blake Lively,23
2011,Erin Heatherson,22
2012,Toni Garrn,20
2013,Toni Garrn,21
2014,Kelly Rohrbach,25
2015,Nina Agdal,24
2016,Nina Agdal,25
2017,Camila Morrone,20
2018,Camila Morrone,21
2019,Camila Morrone,22
2020,Camila Morrone,23
2021,Camila Morrone,24